LSOA11CD,LSOA11NM,geometry,Income Score - exponentially transformed,Employment Score - exponentially transformed,Education Score - exponentially transformed,Health Score - exponentially transformed,Crime Score - exponentially transformed,Barriers Score - exponentially transformed,Living Environment Score - exponentially transformed,IMD,IMD_minus_crime,IMD Group
E01000595,Brent 027A,"POLYGON ((-0.257072703093926 51.54556242938404, -0.2554647095231429 51.54528623296282, -0.255243253145934 51.5456954991662, -0.2560420138858894 51.543746641327346, -0.2563226437336799 51.54284488851209, -0.2565351187831988 51.54172742110621, -0.2566765152409998 51.54014437072904, -0.2575048687785335 51.5403359929528, -0.2569736141171034 51.54086383792093, -0.2588980293465709 51.54144932628787, -0.2591006886659412 51.54189057511554, -0.2596089040429416 51.54190545296517, -0.2601691433608948 51.54252927859155, -0.2595147325848684 51.54267244190463, -0.2596524805241659 51.54392179375314, -0.2596726365460154 51.54458115866555, -0.2596657786703164 51.544760903545225, -0.2596798953297817 51.545207752984076, -0.2610369087957907 51.54518211210531, -0.2611665730614753 51.545493549805606, -0.2619204779376376 51.545625793350474, -0.2620544714098639 51.546226909976156, -0.2625258674558292 51.54642819792317, -0.2607007691797732 51.546701598756336, -0.2599578318054803 51.547168767791014, -0.2578654552669477 51.54784078300535, -0.2566479984854166 51.54700809320891, -0.2569820585817032 51.54575571281732, -0.257072703093926 51.54556242938404))",44.65,48.01,35.133,32.074,33.214,96.534,36.097,45.34503000000001,46.6292616,0
E01004288,Tower Hamlets 019D,"POLYGON ((-0.0426336540844325 51.51676383961462, -0.042220720565293 51.516476260968815, -0.0414953951895202 51.5157466572593, -0.0406051279590169 51.51566883930901, -0.0409981687271647 51.51535076227991, -0.0410188076369715 51.51479583063958, -0.0396696868186903 51.51462909205551, -0.0396618870539897 51.51433877871763, -0.0411995651776241 51.51457996925234, -0.0407200757742468 51.51418419830011, -0.0415997375441253 51.513597310699254, -0.0416701859014318 51.51329720719187, -0.0410437261889949 51.51315786295617, -0.04123648909887 51.51284407451101, -0.043710010031845 51.51317200797659, -0.0436026468210132 51.513659568517525, -0.0441693580572628 51.51366723087463, -0.044095263275473 51.51396131285346, -0.0446564700104732 51.513955913679496, -0.0447013792959297 51.514253427779394, -0.0436185160734924 51.51429830921136, -0.0436296354593537 51.51453931702373, -0.0451563407209561 51.51459104979897, -0.0451426536284736 51.514910734003415, -0.0454703964843489 51.51488857990608, -0.0455340777058105 51.514902923218145, -0.0450564464545956 51.5154975580764, -0.0455299654599124 51.51551446944707, -0.0455589271129725 51.51628570006297, -0.0456037591828866 51.51674142841398, -0.0445410134948145 51.51665177370737, -0.0428033689500589 51.516750440147895, -0.0426336540844325 51.51676383961462))",49.117,39.109,30.834,37.849,29.235,33.305,32.868,37.995999000000005,38.929632600000005,0
E01001249,Ealing 028A,"POLYGON ((-0.3195860524387261 51.511297954830404, -0.3195177132994423 51.51098820666467, -0.3194904955402215 51.51090426911797, -0.3219342599044817 51.510512237836956, -0.3233299370449015 51.510282201294345, -0.3236254456196478 51.51023348731853, -0.3244141471626345 51.51010346055545, -0.3266806208646342 51.509738877228166, -0.3269255552661974 51.51023776645072, -0.3278335284113179 51.51013361623903, -0.3282098590774172 51.51137112437531, -0.3277369575619738 51.511504564351824, -0.3271272852337222 51.51159448946642, -0.3264924172382362 51.51128018946549, -0.3258761483025995 51.51134683178784, -0.3260167983701204 51.51183442372904, -0.3254609915153262 51.51194900149092, -0.3257054217685787 51.51256693504286, -0.3238187786005137 51.51265384167767, -0.3236233332792699 51.513218292360015, -0.3197237046194024 51.51353378804876, -0.3197159824626151 51.51349259156087, -0.3195085562012509 51.51276407535218, -0.3195860524387261 51.511297954830404))",50.949,43.444,14.047,30.895,51.332,58.63,43.028,41.533665,40.5642507,0
E01003305,Lewisham 003E,"POLYGON ((-0.0465137341626617 51.480484877001494, -0.0466636387019456 51.48000366811472, -0.0461710404992029 51.479888798730805, -0.0462140847040966 51.479567039094874, -0.0462629296124544 51.479362946172934, -0.0463856647037595 51.4782479764443, -0.0457881863705948 51.477401701793106, -0.045729912142104 51.47720311665293, -0.0469066851977321 51.47754879890977, -0.0477950340465225 51.47730332762938, -0.0489371450699424 51.47650033689157, -0.0500985302233431 51.47699525202651, -0.0504130409155777 51.47712194593919, -0.0509114471808928 51.47787774715904, -0.0506446207390087 51.478336846946895, -0.0504751635398116 51.47876234087912, -0.0503513605833571 51.4790766171172, -0.0498237116059221 51.48031956632795, -0.0499255571077018 51.48033924552857, -0.0496012356091666 51.48064287483392, -0.048260874427899 51.48038286835382, -0.0481163698771307 51.480802056757604, -0.0476990812562643 51.480877734029306, -0.0465137341626617 51.480484877001494))",51.114,41.988,14.396,39.851,48.443,69.551,43.897,43.327158,42.8397944,0
E01000048,Barking and Dagenham 021B,"POLYGON ((0.083772493192806 51.531905629677375, 0.0838982810429538 51.53177907910674, 0.0848185892014165 51.532123361334385, 0.0860188157148544 51.53224649966247, 0.0868148982660697 51.53118649923549, 0.0865942859300831 51.53088476016618, 0.0861534684019112 51.53070374438255, 0.0856845121034838 51.53104069759805, 0.0852205466758704 51.530850018046266, 0.084623760988334 51.53130995817286, 0.0845693179948844 51.531021188152785, 0.0839108085651009 51.53086793541877, 0.0834922650802497 51.53074221508442, 0.0830075662855739 51.530926785086024, 0.0819584192632061 51.53040059520925, 0.0813989206813346 51.53098696947097, 0.0808637144548109 51.531578026832676, 0.0813078270134056 51.53235658121003, 0.0828769618844318 51.5323543119218, 0.0826511009821778 51.532726215940194, 0.0837625152871728 51.533137535352076, 0.0845430643520915 51.532512428734655, 0.0837007204792811 51.53239062494223, 0.083772493192806 51.531905629677375))",69.452,45.409,26.523,28.608,21.252,83.592,17.922,44.703648,47.1498417,0
E01002843,Kensington and Chelsea 021D,"POLYGON ((-0.1802523894396981 51.48199762292404, -0.180073194102222 51.48144132619178, -0.1795477068152234 51.4814902536569, -0.1791863497319918 51.48095250245818, -0.1798988032122249 51.480628079851314, -0.1804849727321641 51.481223883991085, -0.1810072909895859 51.4810796725545, -0.1810717214925464 51.48113151563933, -0.1814131749976282 51.480998632918194, -0.1805571168605589 51.48008312596115, -0.1813714369816959 51.4800407243652, -0.1820393015196636 51.48035121458285, -0.1828867608162601 51.480149798180236, -0.184261848721807 51.47972293987513, -0.1849555549402912 51.47944164824981, -0.1841065358683398 51.47830397246612, -0.1846076637089415 51.478045266137926, -0.185377596401894 51.47860391010154, -0.1865514265173046 51.47987062475558, -0.1857059167548733 51.48031414887095, -0.184512641019514 51.4807770394936, -0.184199563638928 51.48088832098937, -0.182355049984493 51.48145943575238, -0.1815491441318586 51.48166225719371, -0.1802523894396981 51.48199762292404))",54.839,58.366,14.118,32.094,32.616,51.63,32.943,42.608322,43.6715793,0
E01004754,Westminster 010A,"POLYGON ((-0.1869621314264849 51.52332171259678, -0.1872469132496157 51.522991478267215, -0.1874949919611512 51.52277919648867, -0.187801163525998 51.52249276079156, -0.1874265489686851 51.522369351541265, -0.1873901097766016 51.522162025262915, -0.1877562947812802 51.52183179763035, -0.1883015039296641 51.52193123219923, -0.1888124457039959 51.521845889006215, -0.1906882539160444 51.521434208383084, -0.1905923894655239 51.52104272758215, -0.1909570392016672 51.5209563053699, -0.1917472371040116 51.521374030529934, -0.1917414627694682 51.521774176905424, -0.1925047137810284 51.52179903349665, -0.1930559032683776 51.522290599219374, -0.192770750181221 51.52235794788576, -0.1936258727045722 51.5225818122761, -0.1934564271734815 51.52274167805579, -0.1915656920010871 51.52330019024228, -0.1912962848076177 51.523130368830095, -0.1902421418729152 51.52335756208715, -0.1901449663588182 51.52335654838152, -0.190080170771591 51.52377390373069, -0.1890704364408352 51.52432516674501, -0.188667396018428 51.52413333093343, -0.187300078415295 51.523482558690716, -0.1869621314264849 51.52332171259678))",66.744,59.949,21.452,41.166,36.689,23.214,36.348,45.910698,46.8990151,0
E01004013,Southwark 019D,"POLYGON ((-0.0761452331461683 51.47762210286376, -0.0753901299578934 51.47686618189702, -0.0743468206843598 51.4770199118173, -0.0734747835810904 51.47687365577101, -0.0731732010830316 51.4771894763786, -0.0724695935063364 51.47543334906932, -0.0720386691882627 51.474383108900696, -0.0714654237138295 51.47437832153469, -0.0720261641400349 51.4740506072418, -0.0727131835053554 51.47416391483991, -0.0731669878167088 51.47463427854675, -0.0742903676051602 51.47405793461072, -0.0751408804786582 51.47424668150588, -0.0774332995179697 51.4742530534063, -0.0784668627727282 51.475918750626064, -0.0786143826333406 51.47605987946581, -0.078248468205933 51.47626818596473, -0.0775546986292721 51.47650821083194, -0.0769849235923544 51.47644321194317, -0.078025181538493 51.476164896678284, -0.0775508961614732 51.47569411755714, -0.0760993432213113 51.47605898807486, -0.0766702131022065 51.47762907890879, -0.0761452331461683 51.47762210286376))",53.231,43.573,12.101,31.764,41.216,56.975,24.758,39.13693200000001,38.958124,0
E01001130,Croydon 025C,"POLYGON ((-0.0268346756598747 51.3679286894396, -0.0271469924704281 51.36758970378419, -0.0264946515097806 51.367469173949836, -0.0264091898493873 51.366858631103064, -0.0231955150665449 51.36725583092551, -0.0232818998344274 51.36699128930696, -0.0244756331592714 51.366751335691355, -0.0236250437543462 51.3652774763074, -0.0243454396367605 51.36479052542596, -0.025451014294002 51.364976199435766, -0.027094374794024 51.36502655049169, -0.0298914540189904 51.365730714310374, -0.0315545345639808 51.36606128118667, -0.0315116158110963 51.36673279240424, -0.0310481317769857 51.36674156787034, -0.0302048774366915 51.366908030490436, -0.029680612127999 51.36756464760103, -0.030017923002385 51.367991733798604, -0.0305774002739053 51.36803927061909, -0.030509469976036 51.36843514419605, -0.0293871623287986 51.3683597501554, -0.028424984905656 51.367893127250255, -0.0282902263175479 51.36821654372626, -0.0290143355459454 51.368553730328664, -0.0282480686157058 51.36879023357717, -0.0284169460387348 51.36920673738028, -0.027288321204371 51.36894168397629, -0.0268346756598747 51.3679286894396))",57.24,36.816,30.26,16.215,23.489,69.494,11.587,37.16173500000001,38.5977904,0
E01003540,Newham 029C,"POLYGON ((0.062198179119191 51.52365219668663, 0.0629506881663362 51.52323967672516, 0.064174361330992 51.523234388124514, 0.0645832856363155 51.523206920959396, 0.0648294682676404 51.523192434377485, 0.0663889518723822 51.52294676040662, 0.0652616675404563 51.52257673547674, 0.0647130944962525 51.52239614342344, 0.0622186428935528 51.521533822045285, 0.0601858193612641 51.52082193610233, 0.0588372555019584 51.52047293976181, 0.0567672213631395 51.519952519073904, 0.0560358409194197 51.51983119811384, 0.0552734129177379 51.51974118982724, 0.0549810958846022 51.519709675606, 0.0527094057305734 51.520500124965785, 0.0524521298978488 51.52076968819572, 0.054398305146677 51.52058533703961, 0.0553387560567362 51.52100130255228, 0.0539770620750907 51.52137880546593, 0.0540788240884908 51.521763027247474, 0.0535858254900038 51.522072170320854, 0.054359492652568 51.52224968102785, 0.0551863892554338 51.52243940131491, 0.0550857667806558 51.522852977525375, 0.055070927010848 51.52334749592784, 0.0558242160347475 51.52287449633475, 0.0566753894652179 51.523050732232555, 0.0571722446771064 51.52258142886456, 0.0575401975814718 51.522675459295264, 0.0576406036819117 51.52252043469431, 0.0580819410271779 51.52263545996664, 0.0579466569574493 51.52292873970814, 0.060266353475095 51.523816883361405, 0.0613595705114793 51.52425474866666, 0.062198179119191 51.52365219668663))",39.078,29.358,25.06,27.179,30.543,96.079,47.888,38.679795,39.547284000000005,0
E01003245,Lewisham 001B,"POLYGON ((-0.0465673289500076 51.490341764648704, -0.0458331837538117 51.49016176552067, -0.0447936408065315 51.49043575375446, -0.0445695194425531 51.4901403669155, -0.0445907912390417 51.48990851340625, -0.0457604156871255 51.48957348565601, -0.0449443457396733 51.48833532596853, -0.0439829371171782 51.48705280299843, -0.043768942572743 51.48648765969062, -0.0445796462133549 51.48653306996882, -0.0456057577327203 51.48779183783696, -0.0463768136575871 51.48813486993861, -0.0467495702325651 51.487569605733306, -0.048517855184335 51.488255232390976, -0.0491613142425452 51.487948067211946, -0.0498483964610004 51.488224518470645, -0.0500541559672844 51.48831041185336, -0.0519603355216655 51.48913471539494, -0.0505389903162342 51.48969325991599, -0.0501466247613922 51.48978089817698, -0.0492604606976917 51.49004164012002, -0.0487230874359923 51.49009998221027, -0.0486386979327353 51.49011934192335, -0.0473584081033279 51.49051402032235, -0.0465731892258303 51.49074284444389, -0.0465673289500076 51.490341764648704))",50.269,35.781,19.169,22.285,21.228,65.104,24.814,35.294118,36.7684478,0
