LSOA code,Total Crimes,2019,2020,2021,2022,2023,Average Crimes 2019-2023
E01000008,2048,433,430,402,362,421,409.6
E01000016,688,142,156,161,129,100,137.6
E01000020,656,130,156,105,132,133,131.2
E01000036,1084,190,200,185,213,296,216.8
E01000048,303,79,84,47,70,23,60.6
E01000051,575,120,135,93,105,122,115.0
E01000067,420,58,69,68,109,116,84.0
E01000070,1607,277,309,296,357,368,321.4
E01000074,789,163,178,157,132,159,157.8
E01000081,678,129,128,137,152,132,135.6
E01000094,857,157,200,150,151,199,171.4
E01000099,1040,173,193,204,222,248,208.0
E01000105,2719,562,669,476,492,520,543.8
E01000111,1454,268,327,309,330,220,290.8
E01000121,560,101,124,91,132,112,112.0
E01000144,2128,320,397,312,493,606,425.6
E01000174,969,143,168,231,220,207,193.8
E01000182,741,177,215,144,89,116,148.2
E01000208,855,173,174,176,154,178,171.0
E01000213,468,115,120,94,69,70,93.6
E01000248,1030,221,184,151,235,239,206.0
E01000276,198,27,39,47,46,39,39.6
E01000289,840,203,213,172,123,129,168.0
E01000291,623,145,176,115,104,83,124.6
E01000308,1073,260,298,184,157,174,214.6
E01000318,927,274,222,171,136,124,185.4
E01000334,612,108,143,103,136,122,122.4
E01000335,2227,470,514,438,391,414,445.4
E01000356,634,170,151,83,85,145,126.8
E01000367,1031,220,266,200,169,176,206.2
E01000370,567,158,100,72,115,122,113.4
E01000377,707,172,160,153,98,124,141.4
E01000389,551,90,119,95,119,128,110.2
E01000401,672,152,140,123,134,123,134.4
E01000436,250,71,51,45,41,42,50.0
E01000442,403,99,110,72,55,67,80.6
E01000469,737,116,173,135,153,160,147.4
E01000476,736,97,159,160,162,158,147.2
E01000481,577,95,95,134,153,100,115.4
E01000489,657,92,145,131,126,163,131.4
E01000504,1237,180,231,232,297,297,247.4
E01000512,1053,193,252,261,183,164,210.6
E01000527,1313,249,355,237,217,255,262.6
E01000528,1022,137,280,221,175,209,204.4
E01000538,372,66,83,74,85,64,74.4
E01000559,740,124,134,108,206,168,148.0
E01000573,430,73,110,77,105,65,86.0
E01000584,274,52,64,49,61,48,54.8
E01000586,2524,577,488,534,451,474,504.8
E01000588,2311,487,645,526,506,147,462.2
E01000595,1283,245,328,246,266,198,256.6
E01000596,1043,203,229,246,179,186,208.6
E01000625,1078,178,274,206,268,152,215.6
E01000626,813,125,169,161,162,196,162.6
E01000641,1196,199,330,269,183,215,239.2
E01000643,2026,498,437,310,343,438,405.2
E01000659,293,50,61,62,55,65,58.6
E01000664,537,100,133,92,111,101,107.4
E01000682,543,71,94,71,97,210,108.6
E01000685,423,103,111,85,66,58,84.6
E01000694,574,102,132,149,101,90,114.8
E01000706,642,119,176,142,115,90,128.4
E01000718,1076,165,216,250,217,228,215.2
E01000726,489,105,102,104,73,105,97.8
E01000731,479,87,117,85,75,115,95.8
E01000762,412,91,105,68,73,75,82.4
E01000775,1229,215,249,274,218,273,245.8
E01000796,981,212,193,209,180,187,196.2
E01000811,282,59,62,55,48,58,56.4
E01000842,628,120,160,153,99,96,125.6
E01000857,536,110,111,134,99,82,107.2
E01000879,740,176,188,158,117,101,148.0
E01000882,466,79,84,90,79,134,93.2
E01000894,797,170,202,121,120,184,159.4
E01000907,1434,244,365,363,290,172,286.8
E01000929,721,167,152,130,138,134,144.2
E01000935,1391,272,371,306,236,206,278.2
E01000943,1631,282,235,293,440,381,326.2
E01000947,5259,1265,952,786,975,1281,1051.8
E01000952,1583,299,326,268,297,393,316.6
E01000955,1915,323,354,364,395,479,383.0
E01000961,777,155,202,157,134,129,155.4
E01000963,2276,527,425,425,446,453,455.2
E01000980,461,89,130,95,73,74,92.2
E01000981,559,78,128,138,115,100,111.8
E01000996,365,54,80,47,93,91,73.0
E01001014,6863,1485,1506,1511,1776,585,1372.6
E01001031,334,62,67,46,72,87,66.8
E01001046,536,75,139,139,102,81,107.2
E01001058,176,35,45,32,41,23,35.2
E01001062,687,158,126,138,127,138,137.4
E01001063,586,120,136,119,113,98,117.2
E01001070,547,91,126,93,128,109,109.4
E01001093,563,89,152,85,112,125,112.6
E01001098,300,49,70,70,59,52,60.0
E01001102,458,102,80,93,87,96,91.6
E01001105,375,73,100,69,71,62,75.0
E01001106,481,78,113,116,93,81,96.2
E01001120,420,63,90,73,94,100,84.0
E01001121,160,31,25,28,34,42,32.0
E01001123,282,50,70,45,53,64,56.4
E01001125,736,125,185,121,132,173,147.2
E01001128,843,180,189,214,152,108,168.6
E01001130,766,138,173,129,146,180,153.2
E01001158,557,102,149,102,116,88,111.4
E01001159,953,171,237,206,180,159,190.6
E01001169,719,118,156,158,152,135,143.8
E01001237,729,160,149,150,146,124,145.8
E01001249,3193,716,636,564,552,725,638.6
E01001270,679,143,137,153,135,111,135.8
E01001271,772,127,162,124,146,213,154.4
E01001283,1421,290,330,367,238,196,284.2
E01001294,839,176,194,179,138,152,167.8
E01001295,547,122,153,94,87,91,109.4
E01001306,320,91,55,49,65,60,64.0
E01001318,667,121,152,130,173,91,133.4
E01001320,970,164,253,178,182,193,194.0
E01001326,1133,223,278,241,190,201,226.6
E01001329,610,139,156,108,95,112,122.0
E01001346,530,76,105,54,120,175,106.0
E01001363,780,161,173,154,164,128,156.0
E01001394,1066,243,219,251,211,142,213.2
E01001397,1009,192,229,186,184,218,201.8
E01001405,475,69,124,101,111,70,95.0
E01001408,849,165,206,165,167,146,169.8
E01001409,1285,223,253,264,256,289,257.0
E01001429,6445,1281,1232,1104,1425,1403,1289.0
E01001451,1551,266,282,292,324,387,310.2
E01001456,328,87,75,61,56,49,65.6
E01001460,1295,164,326,290,266,249,259.0
E01001461,1243,231,295,219,252,246,248.6
E01001478,507,101,99,123,86,98,101.4
E01001485,1162,200,217,249,245,251,232.4
E01001497,545,102,138,148,90,67,109.0
E01001500,688,137,128,126,139,158,137.6
E01001524,370,82,85,80,75,48,74.0
E01001532,603,150,143,128,97,85,120.6
E01001547,1288,232,293,232,266,265,257.6
E01001563,1152,127,129,114,304,478,230.4
E01001565,589,112,152,138,93,94,117.8
E01001573,693,117,159,149,149,119,138.6
E01001606,192,36,37,41,47,31,38.4
E01001641,2882,649,594,530,587,522,576.4
E01001673,1598,344,318,293,312,331,319.6
E01001677,1046,166,201,188,227,264,209.2
E01001684,476,100,104,95,92,85,95.2
E01001700,1743,338,383,346,375,301,348.6
E01001710,552,101,133,90,132,96,110.4
E01001714,764,74,120,94,181,295,152.8
E01001724,1096,192,224,161,239,280,219.2
E01001731,2747,565,566,459,591,566,549.4
