LSOA11CD,sum
E01000006,1843
E01000010,3515
E01000017,1724
E01000027,2083
E01000028,1817
E01000029,1821
E01000031,1770
E01000032,2078
E01000038,1617
E01000044,1988
E01000058,2138
E01000063,1780
E01000073,1849
E01000077,1721
E01000080,1777
E01000085,1647
E01000098,1937
E01000103,1775
E01000120,1494
E01000124,1864
E01000132,1617
E01000134,1824
E01000136,1487
E01000139,1389
E01000140,1957
E01000145,1614
E01000147,1913
E01000158,1463
E01000161,2034
E01000162,1651
E01000163,1695
E01000164,1711
E01000169,1631
E01000183,1522
E01000193,1948
E01000197,1853
E01000206,1502
E01000207,1579
E01000212,1347
E01000216,1978
E01000217,1785
E01000220,1888
E01000222,2038
E01000223,2031
E01000224,1693
E01000234,1780
E01000239,2057
E01000241,1787
E01000242,1601
E01000261,1769
E01000266,1437
E01000269,1388
E01000270,1547
E01000280,1336
E01000287,1631
E01000288,1550
E01000292,1544
E01000295,1613
E01000298,1711
E01000304,1559
E01000316,2285
E01000324,1832
E01000333,1917
E01000344,1592
E01000346,1588
E01000350,1486
E01000352,1618
E01000358,1659
E01000359,1265
E01000365,1728
E01000366,1641
E01000371,1620
E01000391,1750
E01000395,1528
E01000407,1868
E01000408,1774
E01000413,1346
E01000415,1465
E01000427,2014
E01000429,1692
E01000430,2051
E01000432,3106
E01000433,1957
E01000435,1490
E01000449,1562
E01000459,1871
E01000460,1259
E01000465,1689
E01000468,2934
E01000474,2272
E01000479,1760
E01000480,1688
E01000482,3019
E01000483,1852
E01000486,1698
E01000490,1771
E01000493,1597
E01000495,1588
E01000497,2070
E01000499,1897
E01000502,1883
E01000503,2094
E01000508,2613
E01000511,1770
E01000516,2345
E01000517,1625
E01000518,1915
E01000525,1851
E01000535,2053
E01000543,1627
E01000551,2894
E01000556,2089
E01000560,1563
E01000562,1507
E01000563,1588
E01000564,1625
E01000574,1655
E01000577,2585
E01000589,2551
E01000601,1387
E01000607,2592
E01000620,1750
E01000621,1812
E01000627,2047
E01000630,2728
E01000638,2142
E01000640,2215
E01000644,1912
E01000646,1827
E01000648,1890
E01000649,2067
E01000651,1679
E01000662,1805
E01000669,1735
E01000670,1939
E01000673,1668
E01000678,1846
E01000684,2092
E01000695,1517
E01000698,1194
E01000708,1689
E01000712,1794
E01000725,1752
E01000752,1747
E01000755,1641
E01000782,1545
E01000792,1508
E01000794,1547
E01000802,1848
E01000806,1715
E01000813,1563
E01000814,1517
E01000820,1611
E01000823,1696
E01000824,1402
E01000826,1636
E01000829,1770
E01000830,1625
E01000832,1571
E01000838,1431
E01000851,1479
E01000854,1165
E01000858,1932
E01000859,1460
E01000864,1502
E01000866,1950
E01000880,1411
E01000891,1487
E01000896,1438
E01000904,2064
E01000909,1549
E01000910,1340
E01000912,1587
E01000914,1421
E01000915,1530
E01000916,1853
E01000923,1447
E01000926,1471
E01000930,2082
E01000934,1514
E01000937,1120
E01000946,1554
E01000949,1597
E01000950,967
E01000951,1540
E01000956,1505
E01000958,2938
E01000960,1868
E01000966,1614
E01000970,1407
E01000971,1323
E01000972,1958
E01000977,1944
E01000979,1758
E01000983,1819
E01000992,1875
E01000993,1652
E01000995,1715
E01000998,1493
E01000999,1324
E01001003,1586
E01001007,1982
E01001008,1667
E01001015,1492
E01001017,1649
E01001018,1649
E01001022,1482
E01001026,1883
E01001039,1572
E01001042,2172
E01001044,2081
E01001053,1600
E01001054,1861
E01001056,1807
E01001061,1622
E01001064,1603
E01001067,1654
E01001071,1899
E01001072,1479
E01001074,1948
E01001076,1668
E01001082,1551
E01001083,1615
E01001091,1575
E01001110,2149
E01001117,3052
E01001133,1586
E01001137,2129
E01001138,1514
E01001146,1527
E01001154,1961
E01001157,1851
E01001162,1813
E01001163,1975
E01001171,1757
E01001172,2205
E01001175,1639
E01001180,1981
E01001181,2187
E01001185,1701
E01001191,2070
E01001193,1682
E01001194,1614
E01001203,1688
E01001204,1614
E01001208,1360
E01001212,1766
E01001220,1514
E01001231,2045
E01001233,1444
E01001236,1475
E01001238,5043
E01001250,2180
E01001254,1748
E01001261,2316
E01001266,1832
E01001267,2037
E01001269,2272
E01001274,1611
E01001277,2041
E01001278,2080
E01001279,1492
E01001281,1572
E01001285,1767
E01001291,1762
E01001296,1441
E01001311,2518
E01001315,1466
E01001331,1796
E01001337,2124
E01001339,2184
E01001345,1758
E01001347,1975
E01001352,1584
E01001353,1416
E01001354,2056
E01001359,2464
E01001382,1481
E01001383,1754
E01001386,1799
E01001387,1533
E01001388,1443
E01001391,1781
E01001401,1390
E01001402,1849
E01001404,1480
E01001420,1783
E01001422,1679
E01001430,2013
E01001434,1591
E01001445,2801
E01001446,1858
E01001449,1643
E01001462,1455
E01001463,1560
E01001469,1769
E01001472,1652
E01001474,1898
E01001489,1888
E01001499,1540
E01001504,2139
E01001509,1773
E01001511,1923
E01001518,1688
E01001526,1609
E01001536,1970
E01001537,1715
E01001543,1618
E01001544,1695
E01001545,1884
E01001548,1927
E01001549,2360
E01001555,2236
E01001558,2063
E01001560,1571
E01001572,1733
E01001586,1424
E01001591,2100
E01001598,1609
E01001608,1443
E01001611,1766
E01001621,1673
E01001624,1628
E01001646,2822
E01001650,1834
E01001654,1606
E01001658,1654
E01001661,1663
E01001674,2195
E01001686,1803
E01001692,1471
E01001694,1741
E01001697,2645
E01001702,1485
E01001711,1430
E01001713,540
E01001719,1640
E01001726,1325
E01001728,1979
E01001730,2764
E01001737,1767
E01001746,1687
E01001750,2123
E01001752,2899
E01001755,1676
E01001758,2614
E01001759,1650
E01001764,1752
E01001773,2483
E01001775,1636
E01001779,3003
E01001780,1816
E01001784,1772
E01001786,2223
E01001787,1613
E01001791,1459
E01001794,1898
E01001806,1469
E01001814,1698
E01001815,1771
E01001824,1626
E01001829,1756
E01001832,1660
E01001838,1813
E01001841,1369
E01001845,1584
E01001851,1465
E01001862,1760
E01001869,1352
E01001870,1685
E01001872,1362
E01001883,1870
E01001891,2544
E01001896,1395
E01001899,1599
E01001907,1246
E01001909,1763
E01001918,1509
E01001928,1806
E01001929,1347
E01001930,1736
E01001931,1296
E01001950,1486
E01001953,1466
E01001960,1794
E01001972,1712
E01001973,2547
E01001978,1927
E01001980,1816
E01001983,1662
E01001988,1668
E01001993,1669
E01001994,1812
E01001995,2682
E01002001,1596
E01002002,1691
E01002003,2560
E01002007,1437
E01002008,1342
E01002013,1361
E01002021,1429
E01002022,2164
E01002026,1781
E01002036,1861
E01002039,1672
E01002049,1898
E01002053,2024
E01002057,1794
E01002066,2612
E01002071,1780
E01002075,1969
E01002077,2268
E01002088,1800
E01002101,1980
E01002103,1851
E01002106,2030
E01002109,1872
E01002110,1664
E01002113,1559
E01002124,1793
E01002125,1970
E01002131,1711
E01002132,2039
E01002138,1611
E01002142,1858
E01002152,1615
E01002156,1568
E01002158,1405
E01002161,2058
E01002162,1928
E01002167,1607
E01002173,1913
E01002176,1695
E01002188,1608
E01002196,1822
E01002198,1812
E01002200,2199
E01002203,1811
E01002208,1360
E01002210,1546
E01002222,1604
E01002227,2277
E01002231,2056
E01002234,1965
E01002251,1595
E01002253,1583
E01002258,1839
E01002259,1548
E01002263,1608
E01002274,1665
E01002276,2074
E01002279,1746
E01002281,2463
E01002284,2068
E01002287,1598
E01002288,1598
E01002290,1492
E01002302,1724
E01002305,1714
E01002312,1697
E01002313,2258
E01002316,2075
E01002317,1548
E01002319,1861
E01002331,1665
E01002332,1753
E01002335,1480
E01002342,1722
E01002345,1957
E01002350,1724
E01002351,1769
E01002353,2047
E01002355,1492
E01002371,1709
E01002373,1701
E01002379,1599
E01002384,1638
E01002388,1649
E01002390,1487
E01002400,1996
E01002401,2337
E01002407,3827
E01002416,1746
E01002418,1778
