,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.36165,-0.19382_264",0.23522705078125,NA,NA,NA,NA,NA,NA,NA,0.29947265625,0.256826171875,0.14387451171875,NA,NA,0.0057470703125,NA,NA,NA,NA,NA,0.0588525390625
"51.36165,-0.19382_354",0.05385498046875,0.009755859375,0.09720703125,0.011630859375,NA,NA,NA,NA,0.27245849609375,0.41062255859375,0.1361083984375,NA,NA,0.00570556640625,NA,NA,NA,NA,NA,0.00265625
"51.36165,-0.19382_84",0.3026806640625,0.0155322265625,0.1432275390625,0.01632568359375,NA,NA,NA,NA,0.0584033203125,0.17901611328125,0.2801416015625,NA,NA,NA,NA,NA,NA,NA,NA,0.0046728515625
"51.36165,-0.19382_174",0.3950390625,NA,0.0443701171875,0.002861328125,NA,NA,NA,NA,0.1484912109375,0.10935791015625,0.28421630859375,0.002099609375,NA,NA,NA,NA,NA,0.00149658203125,NA,0.01206787109375
"51.36777,-0.20016_67",0.33789794921875,0.02640869140625,0.34141845703125,0.00651611328125,NA,NA,NA,NA,0.0152392578125,NA,0.262978515625,NA,0.001201171875,0.00150146484375,NA,NA,NA,NA,NA,0.00683837890625
"51.36777,-0.20016_157",0.31060791015625,0.03604736328125,0.2446875,NA,NA,NA,NA,NA,NA,NA,0.33977294921875,0.00861572265625,NA,NA,0.05490234375,NA,NA,NA,NA,0.0053662109375
"51.36777,-0.20016_337",NA,0.24829833984375,0.58710205078125,NA,0.00484375,NA,NA,NA,0.01466552734375,NA,0.0972216796875,0.0044189453125,NA,NA,NA,NA,NA,NA,NA,0.04344970703125
"51.36777,-0.20016_247",0.30684814453125,NA,0.3619677734375,NA,NA,NA,NA,NA,0.00396728515625,NA,0.2561328125,0.00380615234375,NA,0.0025,0.05652587890625,NA,NA,NA,NA,0.008251953125
"51.36888,-0.19813_356",0.3737109375,0.0069287109375,0.0842578125,NA,0.047626953125,NA,NA,NA,NA,0.0098779296875,0.42364013671875,NA,NA,0.00375,NA,NA,NA,NA,NA,0.05020751953125
"51.36888,-0.19813_266",0.28979248046875,NA,0.18953857421875,NA,0.07177490234375,NA,NA,0.001640625,0.0334814453125,0.020927734375,0.30644775390625,NA,NA,0.0063232421875,NA,NA,NA,NA,NA,0.0800732421875
"51.36888,-0.19813_176",0.3846240234375,NA,0.22291259765625,0.00158935546875,0.086044921875,NA,NA,0.00166015625,0.00360595703125,NA,0.28782470703125,NA,NA,0.0020849609375,NA,NA,NA,NA,NA,0.0096533203125
"51.36888,-0.19813_86",0.33085693359375,NA,0.1232080078125,NA,0.1122607421875,NA,NA,NA,NA,0.02299560546875,0.35018798828125,0.000751953125,NA,0.0164892578125,NA,NA,NA,NA,NA,0.04324951171875
"51.36191,-0.19237_151",0.42855712890625,NA,0.2781640625,NA,NA,NA,NA,0.01804931640625,0.20198974609375,NA,0.05306396484375,0.01341796875,NA,NA,NA,NA,NA,NA,NA,0.0067578125
"51.36191,-0.19237_241",0.372861328125,NA,0.6154736328125,NA,NA,NA,NA,NA,NA,NA,0.00046630859375,0.0091064453125,NA,NA,NA,NA,NA,NA,NA,0.00209228515625
"51.36191,-0.19237_331",0.3907568359375,NA,0.37054443359375,NA,NA,NA,NA,NA,0.192119140625,NA,0.0273876953125,0.00181640625,NA,0.011123046875,NA,NA,NA,NA,NA,0.00625244140625
"51.36191,-0.19237_61",0.4219775390625,NA,0.087646484375,NA,NA,NA,NA,NA,0.44354248046875,NA,0.00155029296875,0.00875,NA,NA,NA,NA,NA,NA,0.001669921875,0.03486328125
"51.36219,-0.19170_170",0.22382080078125,NA,0.46609375,NA,NA,NA,NA,NA,NA,NA,0.1091845703125,0.0034375,NA,0.18865234375,NA,NA,NA,NA,NA,0.00881103515625
"51.36219,-0.19170_260",0.29552978515625,NA,0.2694189453125,NA,NA,NA,NA,NA,0.013984375,NA,0.293359375,0.001787109375,NA,0.10646240234375,NA,NA,NA,NA,NA,0.0194580078125
"51.36219,-0.19170_80",0.23485595703125,NA,0.49657958984375,NA,NA,NA,NA,NA,0.01484130859375,NA,0.0623388671875,NA,NA,0.17525634765625,NA,NA,NA,NA,NA,0.0161279296875
"51.36219,-0.19170_350",0.165537109375,0.01352783203125,0.44940185546875,0.0372998046875,0.0215966796875,NA,NA,NA,NA,NA,0.09591064453125,0.00269775390625,NA,0.21169921875,NA,NA,NA,NA,NA,0.0023291015625
"51.36203,-0.19311_85",0.40024169921875,NA,0.07214599609375,0.00957275390625,NA,NA,NA,NA,NA,0.001953125,0.34921630859375,NA,NA,NA,NA,NA,NA,NA,NA,0.1668701171875
"51.36203,-0.19311_355",0.39497802734375,0.04772705078125,0.13100341796875,0.00872314453125,NA,NA,NA,0.0019091796875,0.21093505859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20472412109375
"51.36203,-0.19311_175",0.36121826171875,NA,0.2916015625,0.0059716796875,NA,NA,NA,NA,0.03548583984375,0.00274169921875,0.2179833984375,NA,NA,0.0470849609375,NA,NA,NA,NA,NA,0.03791259765625
"51.36203,-0.19311_265",0.286455078125,0.0945458984375,0.29628662109375,0.00847412109375,NA,NA,NA,NA,0.20792724609375,NA,0.04722900390625,0.0025634765625,NA,0.054384765625,NA,NA,NA,NA,NA,0.0021337890625
"51.36192,-0.19386_174",0.1977099609375,NA,0.1227490234375,NA,NA,NA,NA,NA,0.43301513671875,0.03236083984375,NA,0.00218017578125,NA,0.1746533203125,NA,NA,NA,NA,NA,0.03733154296875
