,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.60933,-0.26395_170",0.3014501953125,0.05038818359375,NA,0.04205078125,0.01963623046875,NA,NA,0.001572265625,0.1801025390625,NA,0.35802001953125,NA,NA,0.0257177734375,NA,NA,NA,NA,NA,0.02106201171875
"51.60933,-0.26395_260",0.33786865234375,NA,0.0666796875,0.043154296875,0.00641357421875,0.005986328125,NA,NA,0.07521728515625,0.01843505859375,0.39577392578125,0.00076416015625,NA,0.0141015625,NA,NA,NA,NA,NA,0.03560546875
"51.60933,-0.26395_350",0.2894580078125,0.1000634765625,0.0485791015625,0.021708984375,NA,NA,NA,NA,NA,0.01528076171875,0.44628173828125,NA,NA,0.00923828125,NA,NA,NA,NA,NA,0.0693896484375
"51.60933,-0.26395_80",0.369296875,NA,0.028095703125,0.00533203125,0.0122216796875,0.00701171875,NA,NA,0.16005615234375,0.00653564453125,0.39292236328125,NA,NA,0.00076904296875,NA,NA,NA,NA,NA,0.0177587890625
"51.60915,-0.26393_260",0.31665283203125,NA,0.10670654296875,0.01175048828125,NA,NA,NA,0.001357421875,0.250400390625,0.03604736328125,NA,NA,0.00152587890625,0.00853515625,NA,NA,NA,NA,NA,0.26702392578125
"51.60915,-0.26393_350",0.33637451171875,0.02404296875,NA,0.02345947265625,0.0156689453125,NA,NA,NA,0.4098583984375,NA,0.1769189453125,NA,NA,0.00357666015625,NA,NA,NA,NA,NA,0.01010009765625
"51.60915,-0.26393_80",0.2808154296875,0.09392333984375,0.0434228515625,0.03303955078125,0.01008056640625,NA,NA,NA,0.2150244140625,NA,0.3142822265625,NA,NA,0.00367431640625,NA,NA,NA,0.00220947265625,NA,0.00352783203125
"51.60915,-0.26393_170",0.319970703125,0.0481591796875,0.08715576171875,0.02579833984375,NA,NA,NA,NA,NA,0.0297607421875,0.39501708984375,NA,NA,0.0196826171875,NA,NA,NA,NA,NA,0.07445556640625
"51.60655,-0.26643_47",0.35078125,0.063974609375,0.05491943359375,NA,NA,NA,NA,NA,0.4212744140625,0.02544921875,0.063076171875,NA,NA,0.01328369140625,NA,NA,NA,NA,NA,0.0072412109375
"51.60655,-0.26643_317",0.24399658203125,0.1191015625,0.10855224609375,NA,0.0098681640625,NA,NA,NA,0.39431884765625,0.03953125,NA,NA,NA,0.01359619140625,NA,NA,NA,NA,NA,0.07103515625
"51.60655,-0.26643_227",0.04271240234375,0.2884130859375,0.095439453125,0.0030615234375,0.018505859375,NA,NA,NA,0.42009765625,0.0093701171875,0.08994384765625,NA,NA,0.023876953125,NA,NA,NA,NA,NA,0.0085791015625
"51.60655,-0.26643_137",0.313955078125,0.11593505859375,0.0493115234375,NA,0.0128125,NA,NA,NA,0.28045166015625,0.00351318359375,0.19856201171875,NA,NA,0.01904296875,NA,NA,NA,NA,NA,0.006416015625
"51.60846,-0.26536_255",0.29794677734375,0.0959375,0.10100830078125,0.0750244140625,NA,NA,NA,0.00123779296875,NA,NA,0.304072265625,0.00546630859375,NA,NA,NA,NA,NA,NA,NA,0.119306640625
"51.60846,-0.26536_165",0.26863037109375,0.04004638671875,0.08371826171875,0.0269384765625,NA,0.0073095703125,NA,NA,NA,0.11655517578125,0.36099853515625,NA,NA,0.01594970703125,NA,NA,NA,NA,NA,0.079853515625
"51.60846,-0.26536_345",0.2794970703125,0.05239501953125,0.07526123046875,NA,NA,NA,NA,NA,0.1410546875,0.09762451171875,0.31581787109375,0.0049169921875,NA,0.00345458984375,NA,NA,NA,NA,NA,0.02997802734375
"51.60846,-0.26536_75",0.141396484375,0.00816162109375,0.05585205078125,0.0024462890625,NA,NA,NA,NA,0.12939208984375,0.2856982421875,0.34955078125,NA,NA,0.0199267578125,NA,NA,NA,NA,NA,0.00757568359375
"51.60901,-0.26559_228",0.2164794921875,0.1391845703125,0.03881103515625,NA,0.0791064453125,0.0057470703125,NA,NA,NA,NA,0.40154541015625,NA,NA,0.0025244140625,NA,NA,NA,NA,NA,0.1166015625
"51.60901,-0.26559_138",0.28007080078125,0.059091796875,0.02470703125,0.001572265625,0.0160595703125,NA,NA,NA,0.1113916015625,0.1028955078125,0.3945703125,NA,NA,0.00172607421875,NA,NA,NA,NA,NA,0.0079150390625
"51.60901,-0.26559_48",0.25158447265625,0.01548095703125,0.0223974609375,NA,NA,NA,NA,NA,0.1361279296875,0.18751220703125,0.38228271484375,0.00075927734375,NA,NA,NA,NA,NA,NA,NA,0.00385498046875
"51.60901,-0.26559_318",0.26294189453125,0.0659228515625,0.0348828125,NA,0.05182861328125,NA,NA,NA,NA,0.05635498046875,0.413349609375,NA,NA,0.00082275390625,NA,NA,NA,NA,NA,0.113896484375
"51.60863,-0.26540_255",0.2098291015625,0.0351220703125,NA,0.01593994140625,NA,0.0057421875,NA,NA,0.35241455078125,0.0072802734375,0.14285400390625,0.00142822265625,NA,0.1682080078125,NA,NA,NA,NA,NA,0.061181640625
"51.60863,-0.26540_165",0.2306591796875,0.01950927734375,0.0517138671875,0.0166796875,NA,0.00520263671875,NA,NA,0.22315185546875,0.1260205078125,0.259833984375,0.0020166015625,NA,0.06289794921875,NA,NA,NA,NA,NA,0.002314453125
"51.60863,-0.26540_75",0.09104248046875,0.015009765625,0.06243896484375,0.00362060546875,NA,NA,NA,NA,0.18398193359375,0.3395166015625,NA,NA,NA,0.0124169921875,NA,NA,NA,NA,NA,0.29197265625
"51.60863,-0.26540_345",0.20616943359375,NA,NA,0.00181396484375,0.0230712890625,NA,NA,NA,0.2641357421875,0.116572265625,NA,NA,NA,0.1221826171875,NA,NA,NA,NA,NA,0.2660546875
"51.60871,-0.26767_137",0.33304931640625,0.070478515625,0.07555908203125,NA,NA,NA,NA,NA,0.31534423828125,0.00596435546875,0.14431396484375,NA,NA,0.04742919921875,NA,NA,NA,NA,NA,0.007861328125
"51.60871,-0.26767_47",0.32468505859375,0.0763427734375,0.0487353515625,0.01306884765625,NA,NA,NA,NA,0.4692431640625,0.0108203125,NA,NA,NA,0.02847412109375,NA,NA,NA,NA,NA,0.02863037109375
"51.60871,-0.26767_317",0.30038330078125,0.0500634765625,0.1426220703125,NA,NA,NA,NA,NA,0.38358154296875,0.005703125,0.07771240234375,NA,NA,0.02735107421875,NA,NA,NA,NA,NA,0.0125830078125
"51.60871,-0.26767_227",0.1304638671875,0.23347900390625,0.17513427734375,0.000732421875,NA,NA,NA,0.0009716796875,0.32833984375,NA,0.10474365234375,NA,NA,0.0214599609375,NA,NA,NA,NA,NA,0.00467529296875
"51.60850,-0.26761_137",0.324111328125,0.05031982421875,0.1280859375,0.0071044921875,NA,0.0050537109375,NA,NA,0.28150634765625,0.0120849609375,NA,NA,NA,0.04096435546875,NA,NA,NA,NA,NA,0.15076904296875
