,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.45310,-0.03007_214",0.39773193359375,0.01517578125,0.11652587890625,0.028603515625,0.014580078125,NA,NA,NA,0.08306640625,0.01955810546875,0.3224609375,NA,NA,NA,NA,NA,NA,NA,NA,0.00229736328125
"51.45310,-0.03007_124",0.10764404296875,0.28474365234375,0.2614111328125,0.04093017578125,0.03995849609375,NA,NA,0.00104736328125,0.06500732421875,NA,0.19721923828125,NA,NA,NA,NA,NA,NA,NA,NA,0.00203857421875
"51.45310,-0.03007_304",0.4122314453125,NA,0.03575927734375,0.0031640625,0.0126171875,NA,NA,NA,NA,0.04689453125,0.4013037109375,NA,NA,NA,NA,NA,NA,NA,NA,0.08802978515625
"51.45310,-0.03007_34",0.38947021484375,NA,0.188984375,0.00453857421875,NA,0.0064501953125,NA,NA,0.02905517578125,0.00054443359375,0.31914306640625,NA,NA,0.00102294921875,NA,NA,NA,NA,NA,0.060791015625
"51.45294,-0.03017_34",0.31457275390625,0.12745849609375,0.17864013671875,0.04913330078125,NA,NA,NA,NA,0.00871826171875,0.00201904296875,0.308369140625,NA,NA,NA,NA,NA,NA,NA,NA,0.0110888671875
"51.45294,-0.03017_214",0.29361328125,0.104345703125,NA,0.0314697265625,0.07166259765625,NA,NA,NA,0.400537109375,NA,0.089365234375,NA,NA,NA,NA,NA,NA,NA,NA,0.00900634765625
"51.45294,-0.03017_304",0.37906005859375,0.0482958984375,NA,0.0299609375,0.05107421875,NA,NA,NA,0.25716796875,NA,0.1974853515625,NA,NA,NA,NA,NA,NA,NA,NA,0.03695556640625
"51.45294,-0.03017_124",0.1506787109375,0.23157958984375,0.2005126953125,0.03106689453125,0.0262939453125,NA,NA,0.001328125,0.3054833984375,NA,0.052861328125,NA,NA,NA,NA,NA,NA,NA,NA,0.0001953125
"51.45354,-0.02840_259",0.38642822265625,NA,0.1312353515625,0.00516357421875,NA,NA,NA,NA,NA,NA,0.3457080078125,NA,NA,0.03259033203125,NA,NA,NA,NA,NA,0.09887451171875
"51.45354,-0.02840_349",0.3714892578125,0.0071533203125,0.1894677734375,0.02706787109375,NA,0.008251953125,NA,NA,NA,NA,0.34391845703125,0.00100341796875,NA,0.03656005859375,NA,NA,NA,NA,NA,0.015087890625
"51.45354,-0.02840_169",0.39183837890625,0.02027099609375,0.1257177734375,0.0031884765625,NA,NA,NA,NA,NA,NA,0.3554833984375,NA,NA,0.0375390625,NA,NA,NA,NA,NA,0.0659619140625
"51.45354,-0.02840_79",0.37928955078125,0.00917724609375,0.14272705078125,0.01359375,NA,0.00609375,NA,NA,NA,0.0059130859375,0.389892578125,NA,NA,0.0365576171875,NA,NA,NA,NA,NA,0.01675537109375
"51.45237,-0.02808_240",0.31909912109375,0.01423583984375,0.06029541015625,NA,0.0069921875,NA,NA,NA,0.21545654296875,0.00260498046875,NA,NA,NA,0.10178955078125,NA,NA,NA,NA,NA,0.2795263671875
"51.45237,-0.02808_150",0.10291015625,0.22560791015625,0.03053466796875,0.00767578125,0.036923828125,0.006103515625,NA,NA,0.4099560546875,0.0832421875,0.07384765625,NA,NA,0.0190185546875,NA,NA,NA,0.00193115234375,NA,0.00224853515625
"51.45237,-0.02808_330",0.20671630859375,0.02316650390625,0.07611083984375,0.00333984375,NA,NA,NA,NA,0.14698974609375,NA,0.3471044921875,NA,NA,0.18515625,NA,NA,NA,NA,NA,0.011416015625
"51.45237,-0.02808_60",0.289208984375,NA,0.05606201171875,0.00966552734375,NA,NA,NA,NA,0.3628955078125,0.0735498046875,0.12163330078125,NA,NA,0.06281982421875,NA,NA,NA,NA,NA,0.0241650390625
"51.45227,-0.02243_22",0.31319580078125,0.07404296875,0.1734521484375,0.02807373046875,0.0094482421875,NA,NA,NA,NA,NA,0.37118408203125,NA,NA,0.00718017578125,NA,NA,NA,NA,NA,0.0234228515625
"51.45227,-0.02243_112",0.332666015625,0.05252197265625,0.09065185546875,0.0144873046875,0.0435546875,NA,NA,NA,NA,NA,0.34976318359375,0.00244873046875,NA,NA,NA,NA,NA,NA,NA,0.11390625
"51.45227,-0.02243_292",0.26222900390625,0.1172021484375,0.19231201171875,0.0425830078125,NA,0.014931640625,NA,0.00151123046875,NA,NA,0.3094921875,NA,NA,NA,NA,NA,NA,NA,NA,0.05973876953125
"51.45227,-0.02243_202",0.34341552734375,0.0538134765625,0.13672607421875,NA,0.00615478515625,0.00548583984375,NA,0.00156982421875,0.14468017578125,NA,0.306494140625,NA,NA,0.00097412109375,NA,NA,NA,NA,NA,0.00068603515625
"51.45243,-0.02232_22",0.2416259765625,0.0308740234375,0.18733642578125,0.01629150390625,0.0073779296875,NA,NA,NA,NA,0.00289794921875,0.37053466796875,NA,NA,0.12176513671875,NA,NA,NA,NA,NA,0.02129638671875
"51.45243,-0.02232_112",0.20157958984375,0.03141357421875,0.1935498046875,0.03646484375,0.00915283203125,NA,NA,NA,NA,NA,0.3482763671875,NA,NA,0.1485791015625,NA,NA,NA,NA,NA,0.03098388671875
