LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01033708,190,19.0,39,42,2,15,8,47.0,7.0,1.0,10
E01000914,178,18.0,30,26,2,20,15,39.0,22.0,1.0,5
E01002968,140,10.0,15,18,1,41,8,23.0,18.0,4.0,2
E01003876,139,18.0,34,16,2,13,8,38.0,5.0,2.0,3
E01004609,92,4.0,19,20,1,11,6,19.0,3.0,4.0,5
E01000851,84,7.0,21,7,1,2,4,39.0,2.0,0.0,1
E01004749,76,7.0,11,5,1,5,2,26.0,11.0,1.0,7
E01004142,76,9.0,10,12,1,10,8,13.0,3.0,7.0,3
E01004762,72,3.0,12,1,0,10,5,24.0,13.0,0.0,4
E01000916,69,10.0,15,12,1,6,3,16.0,2.0,0.0,4
E01000854,68,8.0,18,9,0,4,2,10.0,11.0,2.0,4
E01000010,66,1.0,6,12,2,12,3,8.0,11.0,3.0,8
E01002987,61,5.0,11,9,3,11,5,7.0,4.0,3.0,3
E01002726,61,5.0,9,5,2,10,1,17.0,6.0,0.0,6
E01004658,60,3.0,7,5,2,2,4,20.0,9.0,4.0,4
E01002642,54,1.0,4,7,2,10,3,10.0,4.0,6.0,7
E01033699,51,2.0,12,9,1,5,2,9.0,3.0,3.0,5
E01002695,51,3.0,9,10,3,4,1,11.0,4.0,1.0,5
E01003939,50,10.0,10,7,0,6,4,4.0,4.0,0.0,5
E01004293,50,3.0,9,4,1,8,3,17.0,2.0,2.0,1
E01002554,49,3.0,3,9,2,10,3,7.0,1.0,3.0,8
E01002345,49,1.0,6,9,3,10,5,3.0,2.0,1.0,9
E01002535,49,2.0,6,4,0,13,1,13.0,4.0,1.0,5
E01004727,47,2.0,15,5,0,13,5,3.0,2.0,0.0,2
E01033491,46,3.0,11,5,0,5,2,9.0,4.0,2.0,5
E01000956,46,5.0,13,2,0,4,1,13.0,5.0,0.0,3
E01004067,45,3.0,5,5,3,9,3,3.0,7.0,5.0,2
E01004600,45,1.0,7,9,1,8,1,8.0,4.0,1.0,5
E01002803,44,4.0,12,4,2,4,1,10.0,2.0,1.0,4
E01002022,44,2.0,13,3,2,10,2,7.0,0.0,3.0,2
E01003807,44,2.0,14,6,1,5,4,7.0,0.0,1.0,4
E01033704,44,3.0,7,6,0,4,2,13.0,1.0,0.0,8
E01033490,44,5.0,8,7,1,4,2,15.0,1.0,0.0,1
E01004247,43,1.0,7,16,0,5,1,2.0,2.0,0.0,9
E01002693,42,1.0,7,3,1,6,3,15.0,1.0,3.0,2
E01004430,40,1.0,5,7,0,12,2,3.0,2.0,1.0,7
E01002002,40,3.0,6,8,0,8,3,8.0,1.0,1.0,2
E01002003,40,0.0,9,7,0,6,2,10.0,3.0,1.0,2
E01004074,40,1.0,7,5,2,12,3,7.0,1.0,0.0,2
E01002570,39,2.0,5,2,0,5,3,14.0,3.0,1.0,4
E01002730,39,3.0,12,5,1,1,1,8.0,1.0,0.0,7
E01003566,39,0.0,6,2,0,6,1,15.0,2.0,3.0,4
E01000858,38,3.0,12,4,1,3,2,9.0,3.0,1.0,0
E01001536,38,6.0,4,2,4,10,2,5.0,5.0,0.0,0
E01002734,37,0.0,9,5,0,6,2,9.0,1.0,1.0,4
E01003081,37,3.0,5,10,1,4,4,4.0,0.0,0.0,6
E01003515,37,3.0,6,3,2,12,2,2.0,3.0,0.0,4
E01033737,37,4.0,0,6,2,11,3,4.0,1.0,2.0,4
E01003689,37,1.0,2,4,1,9,3,7.0,7.0,1.0,2
E01003909,36,0.0,6,9,0,4,2,7.0,2.0,3.0,3
E01003016,36,1.0,5,1,0,9,2,14.0,3.0,0.0,1
E01000206,36,1.0,0,0,3,23,9,0.0,0.0,0.0,0
E01004715,36,4.0,4,5,1,3,4,9.0,3.0,0.0,3
E01003591,36,3.0,5,2,2,8,2,7.0,3.0,0.0,4
E01003032,35,4.0,4,2,3,5,2,7.0,5.0,0.0,3
E01004591,35,1.0,4,5,0,4,2,15.0,1.0,0.0,3
E01000946,35,2.0,3,3,1,12,3,1.0,5.0,2.0,3
E01004660,34,1.0,5,6,2,3,3,10.0,0.0,1.0,3
E01000333,34,5.0,1,8,1,7,1,4.0,1.0,1.0,5
E01033083,34,0.0,6,12,1,10,2,0.0,0.0,1.0,2
E01003935,34,2.0,6,2,0,3,1,19.0,0.0,0.0,1
E01001388,33,3.0,1,2,0,7,2,13.0,3.0,0.0,2
E01004681,33,1.0,6,4,0,8,2,9.0,2.0,0.0,1
E01003953,33,2.0,5,4,2,6,3,4.0,5.0,0.0,2
E01001076,32,0.0,2,10,1,4,4,1.0,3.0,2.0,5
E01000556,32,1.0,2,10,0,6,2,3.0,0.0,0.0,8
E01000972,32,0.0,3,6,0,4,2,11.0,2.0,3.0,1
E01004476,32,0.0,2,6,2,7,4,3.0,2.0,1.0,5
E01002529,32,2.0,2,8,1,5,2,3.0,0.0,0.0,9
E01004099,31,4.0,4,1,3,9,4,4.0,2.0,0.0,0
E01033731,31,5.0,3,3,0,9,2,2.0,3.0,0.0,4
E01004470,31,0.0,6,5,3,4,2,2.0,3.0,1.0,5
E01001953,31,1.0,5,5,1,3,1,8.0,2.0,2.0,3
E01004508,31,5.0,3,2,2,5,2,8.0,2.0,0.0,2
E01004464,30,2.0,5,6,1,8,2,2.0,0.0,1.0,3
E01004217,30,1.0,4,1,3,11,2,3.0,1.0,1.0,3
E01002077,30,2.0,1,2,4,9,3,1.0,3.0,2.0,3
E01000162,29,0.0,3,7,1,7,2,4.0,0.0,1.0,4
E01003887,29,5.0,8,1,0,4,1,8.0,0.0,1.0,1
E01001730,29,1.0,3,7,3,5,1,2.0,3.0,1.0,3
E01004221,29,1.0,1,12,0,7,3,0.0,2.0,0.0,3
