LSOA_name,Total_POI_count,bus_stop,post_box,convenience,school,pub,cafe,fast_food,supermarket,restaurant,telephone
E01000008,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000016,4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,10,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000036,5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
E01000048,5,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000051,5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000067,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000070,17,8.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
E01000074,4,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000081,3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000094,12,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000099,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000105,14,4.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0
E01000111,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
E01000121,3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000144,16,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
E01000174,12,7.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
E01000182,9,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000208,17,9.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
E01000213,7,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000248,28,11.0,2.0,0.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0
E01000276,4,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000289,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000291,3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000308,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000318,11,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
E01000334,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000335,23,12.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0
E01000356,22,5.0,3.0,2.0,1.0,1.0,2.0,6.0,0.0,1.0,1.0
E01000367,7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000370,18,4.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0
E01000377,15,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000389,9,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
E01000401,4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000436,9,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
E01000442,8,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000469,6,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
