LSOA11CD,50th percentile (£),Percentage of occupied addresses with income information (%)
E01000008,20079,99.4
E01000016,24122,98.7
E01000020,24917,98.0
E01000036,26881,98.4
E01000048,18272,97.7
E01000051,20858,95.4
E01000067,22915,99.3
E01000070,26207,98.0
E01000074,23604,98.0
E01000081,24617,98.9
E01000094,22754,98.5
E01000099,24815,98.5
E01000105,24393,99.1
E01000111,23297,98.7
E01000121,26329,99.4
E01000144,31502,95.2
E01000174,29653,98.4
E01000182,39229,97.7
E01000208,39412,97.2
E01000213,43905,98.1
E01000248,35308,98.9
E01000276,40739,96.9
E01000289,23899,98.3
E01000291,25671,99.2
E01000308,26580,97.2
E01000318,30798,99.0
E01000334,30054,99.4
E01000335,27247,97.9
E01000356,32844,99.0
E01000367,26306,98.8
E01000370,33555,99.9
E01000377,30737,99.4
E01000389,34566,98.6
E01000401,27036,99.1
E01000436,33966,99.7
E01000442,31463,98.9
E01000469,26442,97.2
E01000476,28041,99.1
E01000481,25623,98.3
E01000489,29816,98.4
E01000504,32134,98.3
E01000512,30364,98.7
E01000527,26787,98.0
E01000528,26517,98.4
E01000538,33867,98.0
E01000559,33716,97.4
E01000573,27109,99.1
E01000584,33602,97.9
E01000586,31111,96.3
E01000588,26570,97.1
E01000595,25999,98.4
E01000596,24980,97.7
E01000625,24577,98.0
E01000626,25201,98.3
E01000641,28154,98.1
E01000643,25388,98.8
E01000659,33773,98.0
E01000664,30905,99.8
E01000682,34686,99.7
E01000685,32242,99.1
E01000694,42791,99.0
E01000706,33890,98.4
E01000718,27780,98.8
E01000726,31568,99.2
E01000731,27176,99.2
E01000762,35358,98.5
E01000775,36946,99.1
E01000796,24109,98.7
E01000811,37689,99.2
E01000842,48219,94.4
E01000857,36234,95.5
E01000879,51314,93.0
E01000882,56836,96.1
E01000894,46377,93.4
E01000907,29925,97.9
E01000929,24895,97.8
E01000935,22169,98.1
E01000943,26864,57.2
E01000947,30563,92.6
E01000952,23914,96.8
E01000955,22404,90.5
E01000961,27374,96.8
E01000963,34978,87.9
E01000980,28461,98.5
E01000981,31087,98.8
E01000996,27835,99.0
E01001014,25949,98.0
E01001031,40476,99.6
E01001046,33876,98.0
E01001058,31833,98.5
E01001062,35418,98.9
E01001063,35946,99.4
E01001070,30190,99.3
E01001093,31281,99.1
E01001098,43378,99.3
E01001102,37627,99.4
E01001105,29919,98.7
