LSOA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E01000008,7.39059,2,30.9406,0.0
E01000016,5.11561,2,14.5179,0.0
E01000020,6.75302,2,8.79594,3.9694
E01000036,7.34586,2,13.5363,0.0
E01000048,8.13742,2,11.1329,6.2545
E01000051,13.4392,3,34.2898,8.17154
E01000067,5.81071,2,9.75767,0.0
E01000070,9.08794,2,23.3752,2.58635
E01000074,5.22423,2,10.4204,1.97661
E01000081,4.9585,1b,7.29953,2.18351
E01000094,3.08911,1b,6.7982,0.0
E01000099,9.59104,2,14.4511,3.59655
E01000105,8.9166,2,13.6891,2.29305
E01000111,5.31493,2,8.75081,2.57122
E01000121,3.31441,1b,5.57601,1.79857
E01000144,24.4656,5,39.9981,15.1593
E01000174,9.69772,2,12.3618,4.69122
E01000182,14.5049,3,21.4622,4.52393
E01000208,10.2776,3,20.3198,2.50915
E01000213,3.38152,1b,4.90786,2.41982
E01000248,10.5315,3,14.9585,5.67433
E01000276,2.91234,1b,8.24462,0.0
E01000289,6.94427,2,17.8036,0.0
E01000291,3.04293,1b,6.4232,2.25274
E01000308,3.59251,1b,12.2795,0.0
E01000318,7.65489,2,12.699,1.34685
E01000334,3.74277,1b,6.34368,0.0
E01000335,4.47422,1b,12.8076,0.0
E01000356,12.1571,3,15.0056,5.11508
E01000367,3.20996,1b,8.50438,1.62872
E01000370,10.7576,3,14.051,0.0
E01000377,1.62648,1a,4.55307,0.0
E01000389,8.03609,2,21.0486,0.0
E01000401,11.8369,3,16.6109,4.51723
E01000436,5.0137,2,6.30477,2.56577
E01000442,4.71723,1b,6.72013,1.92934
E01000469,6.27424,2,13.1827,0.0
E01000476,4.26955,1b,10.7361,0.0
E01000481,10.7994,3,22.5006,0.0
E01000489,9.81995,2,16.7854,2.25502
E01000504,8.5704,2,14.4243,3.0733
E01000512,11.997,3,22.5188,7.1736
E01000527,5.29119,2,10.9852,3.11666
E01000528,7.39937,2,14.503,3.63918
E01000538,1.64155,1a,9.22983,0.0
E01000559,13.4688,3,18.8435,10.3228
E01000573,9.52887,2,13.3496,4.78797
E01000584,18.746,4,23.8346,15.2841
E01000586,25.4762,6a,33.3856,15.5185
E01000588,8.43137,2,16.2211,2.59174
E01000595,7.63652,2,18.0725,2.57255
E01000596,6.14733,2,11.5145,3.23368
E01000625,8.24699,2,13.2824,0.0
E01000626,7.31984,2,12.5708,0.0
E01000641,17.7922,4,24.5737,14.0294
E01000643,7.8774,2,23.5142,0.0
E01000659,1.67138,1a,5.6465,0.0
E01000664,1.7047,1a,8.09923,0.0
E01000682,4.28869,1b,6.12206,2.01793
