LSOA11CD,sum,rent,own,renter-occupied(%),unoccupied-occupied(%)
E01000008,550,460,90,83.63636363636363,1.2567324955116697
E01000016,625,310,315,49.6,2.49609984399376
E01000020,667,361,306,54.12293853073463,2.0558002936857562
E01000036,474,158,316,33.33333333333333,4.048582995951417
E01000048,178,158,20,88.76404494382022,6.315789473684211
E01000051,434,259,175,59.67741935483871,2.0316027088036117
E01000067,662,233,429,35.196374622356494,2.2156573116691285
E01000070,579,156,423,26.94300518134715,4.769736842105264
E01000074,625,375,250,60.0,2.190923317683881
E01000081,651,299,352,45.92933947772657,3.268945022288262
E01000094,846,595,251,70.33096926713948,6.725468577728775
E01000099,933,481,452,51.554126473740624,2.405857740585774
E01000105,933,680,253,72.88317256162915,6.231155778894473
E01000111,744,410,334,55.107526881720425,4.247104247104247
E01000121,528,303,225,57.38636363636363,0.9380863039399625
E01000144,741,524,217,70.71524966261808,4.633204633204633
E01000174,761,387,374,50.85413929040736,1.6795865633074936
E01000182,726,291,435,40.082644628099175,4.973821989528796
E01000208,631,193,438,30.58637083993661,6.101190476190476
E01000213,455,106,349,23.296703296703296,2.569593147751606
E01000248,718,223,495,31.058495821727018,2.9729729729729732
E01000276,496,84,412,16.93548387096774,2.1696252465483234
E01000289,550,359,191,65.27272727272727,2.3090586145648313
E01000291,624,337,287,54.006410256410255,0.3194888178913738
E01000308,957,553,404,57.78474399164054,10.727611940298507
E01000318,632,196,436,31.0126582278481,3.215926493108729
E01000334,638,134,504,21.00313479623825,4.06015037593985
E01000335,1045,590,455,56.45933014354066,5.5153707052441225
E01000356,627,97,530,15.47049441786284,3.834355828220859
E01000367,800,353,447,44.125,1.9607843137254901
E01000370,630,115,515,18.253968253968253,5.263157894736842
E01000377,653,148,505,22.6646248085758,4.1116005873715125
E01000389,709,207,502,29.19605077574048,4.1891891891891895
E01000401,691,311,380,45.00723589001447,4.160887656033287
E01000436,625,59,566,9.44,0.47770700636942676
E01000442,633,101,532,15.955766192733018,1.4018691588785046
E01000469,638,317,321,49.68652037617554,5.899705014749262
E01000476,556,221,335,39.74820143884892,7.79436152570481
E01000481,603,376,227,62.35489220563848,3.52
E01000489,686,359,327,52.332361516034986,4.456824512534819
E01000504,704,396,308,56.25,3.296703296703297
E01000512,651,303,348,46.54377880184332,4.685212298682284
E01000527,734,521,213,70.98092643051771,12.410501193317423
E01000528,732,504,228,68.85245901639344,5.304010349288486
E01000538,485,82,403,16.90721649484536,2.217741935483871
E01000559,654,451,203,68.96024464831805,5.217391304347826
E01000573,479,191,288,39.87473903966597,3.4274193548387095
E01000584,553,196,357,35.44303797468354,5.952380952380952
E01000586,1086,734,352,67.58747697974218,10.76417419884963
E01000588,1146,546,600,47.64397905759162,10.328638497652582
E01000595,649,513,136,79.04468412942988,5.6686046511627906
E01000596,624,524,100,83.97435897435898,8.771929824561402
E01000625,595,307,288,51.59663865546219,3.565640194489465
E01000626,604,453,151,75.0,3.821656050955414
E01000641,743,536,207,72.1399730820996,5.949367088607595
E01000643,896,672,224,75.0,4.375667022411953
E01000659,523,43,480,8.221797323135755,2.0599250936329585
E01000664,604,135,469,22.350993377483444,2.106969205834684
E01000682,638,54,584,8.463949843260188,2.89193302891933
E01000685,613,141,472,23.00163132137031,3.15955766192733
E01000694,880,128,752,14.545454545454543,3.9301310043668125
E01000706,612,205,407,33.49673202614379,3.4700315457413247
E01000718,932,512,420,54.93562231759657,5.668016194331984
E01000726,579,101,478,17.443868739205527,2.689075630252101
E01000731,512,185,327,36.1328125,4.655493482309125
E01000762,746,175,571,23.458445040214475,4.481434058898848
E01000775,857,155,702,18.08634772462077,4.671857619577309
E01000796,618,517,101,83.65695792880258,5.7926829268292686
E01000811,575,109,466,18.95652173913044,2.5423728813559325
E01000842,701,403,298,57.48930099857347,11.265822784810126
E01000857,637,376,261,59.02668759811617,10.909090909090908
E01000879,573,323,250,56.36998254799301,14.985163204747776
E01000882,667,355,312,53.223388305847074,15.569620253164556
E01000894,567,246,321,43.386243386243386,13.829787234042554
E01000907,620,429,191,69.19354838709677,2.6687598116169546
E01000929,724,579,145,79.97237569060773,9.72568578553616
E01000935,703,619,84,88.05120910384068,8.58257477243173
E01000943,437,340,97,77.80320366132723,31.181102362204726
E01000947,820,667,153,81.34146341463413,21.455938697318008
E01000952,650,566,84,87.07692307692308,6.609195402298851
E01000955,536,506,30,94.40298507462688,6.620209059233449
E01000961,726,524,202,72.1763085399449,10.591133004926109
E01000963,824,541,283,65.65533980582524,22.91861552853134
E01000980,576,240,336,41.66666666666667,4.477611940298507
E01000981,661,220,441,33.28290468986384,3.0791788856304985
E01000996,450,128,322,28.444444444444443,3.640256959314775
E01001014,1749,1108,641,63.35048599199544,11.218274111675127
E01001031,515,60,455,11.650485436893204,3.9179104477611943
E01001046,799,439,360,54.943679599499376,7.093023255813953
E01001058,522,92,430,17.624521072796934,3.6900369003690034
E01001062,555,82,473,14.774774774774771,4.802744425385934
E01001063,576,87,489,15.104166666666666,2.7027027027027026
E01001070,647,179,468,27.666151468315302,4.148148148148148
E01001093,713,233,480,32.678821879382895,9.40279542566709
E01001098,536,51,485,9.514925373134329,4.114490161001789
E01001102,637,122,515,19.15227629513344,5.62962962962963
E01001105,629,188,441,29.88871224165342,0.7886435331230284
E01001106,561,108,453,19.25133689839572,4.591836734693878
E01001120,507,69,438,13.6094674556213,2.312138728323699
E01001121,541,37,504,6.839186691312385,6.724137931034482
E01001123,603,58,545,9.618573797678277,2.5848142164781907
E01001125,605,123,482,20.33057851239669,4.8742138364779874
E01001128,571,373,198,65.32399299474606,4.194630872483222
E01001130,561,446,115,79.50089126559715,4.915254237288136
E01001158,670,282,388,42.08955223880597,8.093278463648835
E01001159,742,203,539,27.358490566037734,5.597964376590331
E01001169,636,350,286,55.0314465408805,2.900763358778626
E01001237,671,365,306,54.396423248882265,6.284916201117319
E01001249,1085,834,251,76.86635944700461,10.033167495854062
E01001270,584,151,433,25.85616438356164,2.666666666666667
E01001271,635,265,370,41.732283464566926,6.20384047267356
E01001283,770,496,274,64.41558441558442,4.584882280049566
E01001294,569,216,353,37.96133567662566,3.885135135135135
E01001295,526,173,353,32.88973384030418,3.6630036630036633
E01001306,698,200,498,28.653295128939828,4.252400548696845
E01001318,717,446,271,62.203626220362615,2.7137042062415198
E01001320,546,363,183,66.48351648351648,2.3255813953488373
E01001326,676,409,267,60.502958579881664,3.151862464183381
E01001329,637,314,323,49.293563579277865,3.6308623298033282
E01001346,681,248,433,36.41703377386197,1.7316017316017316
E01001363,523,269,254,51.434034416826,3.860294117647059
E01001394,669,356,313,53.21375186846039,7.083333333333333
E01001397,774,403,371,52.0671834625323,6.859205776173286
E01001405,828,287,541,34.66183574879227,7.5892857142857135
E01001408,709,203,506,28.63187588152327,4.704301075268817
E01001409,787,410,377,52.09656925031766,7.193396226415095
E01001429,1016,877,139,86.31889763779527,4.779756326148079
E01001451,696,184,512,26.436781609195403,2.793296089385475
E01001456,488,57,431,11.68032786885246,2.788844621513944
E01001460,668,454,214,67.96407185628742,9.48509485094851
E01001461,628,440,188,70.06369426751591,13.617606602475929
E01001478,570,211,359,37.01754385964912,2.2298456260720414
E01001485,663,422,241,63.65007541478129,7.531380753138076
E01001497,508,151,357,29.7244094488189,4.511278195488721
E01001500,553,193,360,34.9005424954792,4.655172413793104
E01001524,552,230,322,41.66666666666667,3.1578947368421053
E01001532,663,161,502,24.283559577677224,4.60431654676259
E01001547,725,348,377,48.0,5.598958333333334
E01001563,699,297,402,42.48927038626609,6.174496644295302
E01001565,703,267,436,37.98008534850641,5.7640750670241285
E01001573,528,192,336,36.36363636363637,2.941176470588235
E01001606,608,78,530,12.828947368421051,2.7199999999999998
E01001641,810,480,330,59.25925925925925,8.3710407239819
E01001673,792,606,186,76.51515151515152,5.601907032181168
E01001677,731,426,305,58.27633378932968,2.272727272727273
E01001684,569,275,294,48.33040421792619,2.2336769759450172
E01001700,799,569,230,71.21401752190238,3.2687651331719128
E01001710,653,582,71,89.1271056661562,8.286516853932584
E01001714,856,659,197,76.98598130841121,17.533718689788053
E01001724,1070,773,297,72.24299065420561,7.279029462738301
E01001731,1150,903,247,78.52173913043478,8.657664813343924
E01001738,798,493,305,61.77944862155389,6.447831184056271
E01001744,814,570,244,70.02457002457002,6.0046189376443415
E01001747,1075,720,355,66.97674418604652,9.435551811288963
E01001760,874,647,227,74.02745995423341,7.5132275132275135
E01001763,751,548,203,72.96937416777631,8.078335373317014
E01001768,750,455,295,60.66666666666667,7.7490774907749085
E01001795,516,291,225,56.395348837209305,15.40983606557377
E01001803,686,363,323,52.91545189504373,6.666666666666667
E01001807,657,533,124,81.12633181126331,12.632978723404257
E01001834,806,582,224,72.20843672456576,9.843400447427292
E01001835,490,239,251,48.775510204081634,6.844106463878327
E01001836,816,629,187,77.08333333333334,6.529209621993128
E01001873,706,516,190,73.08781869688386,10.745891276864729
E01001881,821,502,319,61.14494518879415,12.004287245444802
E01001886,628,427,201,67.99363057324841,11.299435028248588
E01001919,601,228,373,37.93677204658902,9.89505247376312
E01001925,619,272,347,43.94184168012924,11.318051575931232
E01001940,705,556,149,78.86524822695036,11.76470588235294
E01001941,774,579,195,74.8062015503876,11.744583808437856
E01001951,690,441,249,63.91304347826087,10.38961038961039
E01001954,667,445,222,66.71664167916042,4.714285714285714
E01001958,601,519,82,86.35607321131448,3.5313001605136436
E01001963,679,180,499,26.50957290132548,2.582496413199426
E01001964,643,285,358,44.32348367029549,6.404657933042213
E01001979,933,713,220,76.42015005359056,3.6157024793388426
E01001989,759,303,456,39.9209486166008,7.664233576642336
E01002011,782,417,365,53.32480818414322,9.069767441860465
E01002019,546,121,425,22.16117216117216,6.185567010309279
E01002024,525,208,317,39.61904761904762,5.575539568345324
E01002046,665,467,198,70.22556390977444,8.022130013831259
E01002061,699,333,366,47.63948497854077,7.5396825396825395
E01002065,735,512,223,69.65986394557822,13.529411764705882
E01002072,680,507,173,74.55882352941177,11.22715404699739
E01002082,571,504,67,88.2661996497373,3.5472972972972974
E01002087,849,620,229,73.02709069493521,5.456570155902004
E01002093,657,474,183,72.14611872146118,3.6656891495601176
E01002096,586,400,186,68.25938566552901,3.776683087027915
E01002107,566,102,464,18.02120141342756,2.9159519725557463
E01002118,677,362,315,53.4711964549483,6.232686980609419
E01002123,508,216,292,42.51968503937008,9.608540925266903
E01002136,711,298,413,41.91279887482419,2.6027397260273974
E01002137,452,201,251,44.469026548672566,5.6367432150313155
E01002146,503,63,440,12.524850894632204,4.734848484848484
E01002151,531,325,206,61.20527306967985,2.389705882352941
E01002154,1001,285,716,28.471528471528472,3.75
E01002164,712,264,448,37.07865168539326,4.0431266846361185
E01002165,534,242,292,45.31835205992509,4.301075268817205
E01002170,411,138,273,33.57664233576642,1.201923076923077
E01002174,495,112,383,22.626262626262623,3.131115459882583
E01002175,406,104,302,25.615763546798032,4.918032786885246
E01002190,604,72,532,11.920529801324504,5.477308294209703
E01002191,656,141,515,21.49390243902439,2.9585798816568047
E01002193,741,319,422,43.04993252361673,5.363984674329502
E01002199,474,127,347,26.79324894514768,2.6694045174537986
E01002201,500,111,389,22.2,4.761904761904762
E01002214,611,249,362,40.75286415711948,3.627760252365931
E01002218,643,252,391,39.19129082426128,6.676342525399129
E01002225,691,115,576,16.642547033285094,14.69135802469136
E01002230,632,110,522,17.405063291139243,5.6716417910447765
E01002232,742,351,391,47.304582210242586,4.258064516129032
E01002235,597,355,242,59.463986599664985,2.9268292682926833
E01002247,891,395,496,44.33221099887766,7.572614107883817
E01002249,1639,961,678,58.63331299572911,5.750431282346176
E01002250,700,258,442,36.85714285714285,3.7138927097661623
E01002277,609,310,299,50.90311986863711,3.1796502384737675
E01002299,660,228,432,34.54545454545455,3.9301310043668125
E01002301,621,83,538,13.365539452495977,3.2710280373831773
E01002339,598,39,559,6.521739130434782,3.392568659127625
E01002352,810,342,468,42.22222222222222,4.705882352941177
E01002363,625,223,402,35.68,5.303030303030303
E01002364,539,58,481,10.760667903525048,3.0575539568345325
E01002369,743,199,544,26.783310901749665,5.108556832694764
E01002411,714,381,333,53.36134453781513,4.289544235924933
E01002415,646,93,553,14.39628482972136,1.0719754977029097
E01002425,599,284,315,47.41235392320535,3.231017770597738
E01002442,648,230,418,35.49382716049383,4.705882352941177
E01002443,682,387,295,56.74486803519062,8.086253369272237
E01002449,733,453,280,61.80081855388813,9.950859950859952
E01002455,698,325,373,46.56160458452722,5.034013605442176
E01002457,527,304,223,57.68500948766604,3.47985347985348
E01002493,615,392,223,63.73983739837399,1.4423076923076923
E01002504,995,495,500,49.74874371859296,4.875717017208412
E01002506,654,495,159,75.68807339449542,7.887323943661972
E01002511,646,315,331,48.76160990712074,3.1484257871064467
E01002518,489,155,334,31.697341513292432,4.678362573099415
E01002538,768,229,539,29.81770833333333,3.1525851197982346
E01002547,509,268,241,52.652259332023576,5.037313432835821
E01002572,619,411,208,66.39741518578353,4.4753086419753085
E01002583,537,251,286,46.74115456238361,0.5555555555555556
E01002586,498,228,270,45.78313253012048,4.597701149425287
E01002592,776,413,363,53.22164948453608,2.6348808030112925
E01002594,649,223,426,34.36055469953775,2.2590361445783134
E01002600,510,236,274,46.27450980392157,2.111324376199616
E01002610,638,334,304,52.35109717868338,2.89193302891933
E01002630,674,408,266,60.534124629080125,3.5765379113018603
E01002631,557,235,322,42.1903052064632,3.466204506065858
E01002666,482,197,285,40.871369294605806,4.743083003952568
E01002672,661,472,189,71.40695915279879,5.028735632183908
E01002675,875,308,567,35.2,3.4216335540838854
E01002679,622,251,371,40.353697749196144,3.115264797507788
E01002683,1280,510,770,39.84375,2.9567854435178167
E01002692,1012,633,379,62.54940711462452,6.209453197405004
E01002694,669,598,71,89.38714499252616,3.8793103448275863
E01002696,856,564,292,65.88785046728972,12.295081967213115
E01002715,685,579,106,84.52554744525548,7.055630936227951
E01002719,687,380,307,55.31295487627366,10.196078431372548
E01002732,817,706,111,86.41370869033048,8.305274971941639
E01002733,609,337,272,55.33661740558292,7.022900763358779
E01002739,817,436,381,53.36597307221543,7.891770011273957
E01002742,713,392,321,54.97896213183731,5.812417437252312
E01002753,624,483,141,77.40384615384616,6.165413533834586
E01002756,585,333,252,56.92307692307692,6.8471337579617835
E01002764,797,598,199,75.03136762860728,6.345475910693302
E01002768,842,627,215,74.46555819477435,9.559613319011815
E01002804,708,561,147,79.23728813559322,11.389236545682103
E01002807,805,642,163,79.75155279503106,8.314350797266515
E01002817,610,297,313,48.68852459016394,24.129353233830848
E01002820,527,380,147,72.10626185958255,38.79210220673635
E01002830,826,680,146,82.32445520581115,11.752136752136751
E01002833,654,422,232,64.52599388379205,22.235434007134362
E01002835,644,381,263,59.161490683229815,35.34136546184739
E01002840,546,395,151,72.34432234432234,18.87072808320951
E01002843,627,536,91,85.48644338118022,11.690140845070422
E01002853,582,529,53,90.893470790378,8.346456692913385
E01002866,763,513,250,67.2346002621232,21.502057613168724
E01002870,692,606,86,87.57225433526011,3.2167832167832167
E01002871,644,301,343,46.73913043478261,20.591861898890258
E01002873,658,411,247,62.46200607902736,13.192612137203167
E01002879,700,616,84,88.0,11.838790931989925
E01002887,556,361,195,64.92805755395683,38.49557522123894
E01002891,561,337,224,60.07130124777184,40.94736842105263
E01002893,903,643,260,71.20708748615725,19.375
E01002915,485,73,412,15.051546391752575,2.80561122244489
E01002930,793,370,423,46.658259773013874,5.931198102016608
E01002946,606,92,514,15.18151815181518,2.4154589371980677
E01002947,617,103,514,16.693679092382496,2.0634920634920633
E01002949,684,147,537,21.49122807017544,2.7027027027027026
E01002951,580,186,394,32.068965517241374,6.148867313915858
E01002964,1053,689,364,65.4320987654321,7.631578947368421
E01002981,521,86,435,16.50671785028791,3.6968576709796674
E01002990,893,502,391,56.21500559910414,5.201698513800425
E01002993,814,499,315,61.302211302211305,6.329113924050633
E01003053,740,464,276,62.70270270270271,2.759526938239159
E01003054,1003,696,307,69.39182452642075,7.472324723247232
