,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,ignore
"51.40210,-0.12240_179",0.37196533203125,0.03165771484375,0.07490234375,0.02478271484375,NA,NA,NA,NA,NA,0.02072998046875,0.43607666015625,NA,NA,0.00072265625,NA,NA,NA,NA,NA,0.03916259765625
"51.40210,-0.12240_89",0.36020751953125,0.03887451171875,0.09227783203125,0.01121826171875,NA,0.0022412109375,NA,0.0018798828125,NA,0.02171630859375,0.41535888671875,0.00080078125,NA,0.00749267578125,NA,NA,NA,NA,NA,0.04793212890625
"51.40210,-0.12240_269",0.3299462890625,0.02629638671875,0.0821435546875,0.00884765625,NA,NA,NA,NA,NA,0.08262939453125,0.3980859375,NA,NA,0.01049072265625,NA,NA,NA,NA,NA,0.06156005859375
"51.40210,-0.12240_359",0.31850830078125,0.03372802734375,0.090732421875,0.00614501953125,NA,NA,NA,NA,NA,0.10468017578125,0.36426513671875,NA,NA,0.0076708984375,NA,NA,NA,NA,NA,0.07427001953125
"51.40196,-0.12259_359",0.373212890625,NA,0.03647216796875,0.0019677734375,NA,NA,NA,NA,NA,0.09718994140625,0.409140625,NA,NA,0.0080712890625,NA,NA,NA,NA,NA,0.0739453125
"51.40196,-0.12259_269",0.31716064453125,NA,NA,0.00275390625,NA,NA,NA,NA,0.09312255859375,0.148974609375,0.409677734375,NA,NA,0.0033203125,NA,NA,NA,NA,NA,0.024990234375
"51.40196,-0.12259_89",0.34242919921875,0.03285888671875,0.0670361328125,0.03493896484375,NA,NA,NA,NA,NA,0.038671875,0.4201123046875,NA,NA,0.00092529296875,NA,NA,NA,NA,NA,0.06302734375
"51.40196,-0.12259_179",0.30880615234375,0.02678466796875,0.06061767578125,0.03129638671875,NA,NA,NA,NA,NA,0.0537451171875,0.41828369140625,NA,NA,0.01969482421875,NA,NA,NA,NA,NA,0.080771484375
"51.40406,-0.12741_153",0.32975830078125,0.0796484375,0.06633056640625,0.03830322265625,NA,NA,NA,0.001591796875,0.13782958984375,0.0009619140625,0.34496826171875,NA,NA,NA,NA,NA,NA,NA,NA,0.00060791015625
"51.40406,-0.12741_63",0.281298828125,0.08931396484375,NA,0.06079345703125,NA,NA,NA,NA,0.227626953125,NA,0.3393310546875,NA,NA,NA,NA,NA,NA,NA,NA,0.0016357421875
"51.40406,-0.12741_333",0.29960693359375,0.08143310546875,0.005205078125,0.018544921875,0.0158251953125,NA,NA,NA,0.3147802734375,0.01995849609375,NA,NA,NA,0.00107177734375,NA,NA,NA,NA,NA,0.24357421875
"51.40406,-0.12741_243",0.2968798828125,0.09432373046875,0.0391650390625,0.04138427734375,0.0206201171875,NA,NA,0.0012451171875,0.258896484375,0.01940185546875,0.2258251953125,NA,NA,0.0014453125,NA,NA,NA,NA,NA,0.00081298828125
"51.40449,-0.12789_341",0.22985595703125,0.06402099609375,0.075302734375,NA,0.06737060546875,NA,NA,NA,NA,0.00236328125,0.43942626953125,NA,NA,0.0919482421875,NA,NA,NA,NA,NA,0.0297119140625
